"252 кабінет. Первинна черга на завтра. 
Список тих хто був записаний через Telegram Bot на вказану дату. Всі записи на наступні дні - на наступному аркуші (TODO)"
Попередній прийом:,,19.12.2025 (9:00 - 14:00),,,Поточний прийом:,,22.12.2025 (9:00 - 14:00)
92,4973,Не зайшов,,,92,,4953,Обіцяв бути,---,12.01.2026,Попередній 84,,4953,27.02.2026
93,4976,Не зайшов,,,93,,4960,Обіцяв бути,---,13.01.2026,Попередній 85,,4960,02.03.2026
94,4978,Не зайшов,,,94,,4963,Обіцяв бути,---,13.01.2026,Попередній 86,,4963,02.03.2026
95,4980,Відклав візит,,,95,,4965,Обіцяв бути,---,13.01.2026,Попередній 87,,4965,02.03.2026
96,4981,Не зайшов,,,96,,4966,Обіцяв бути,---,13.01.2026,Попередній 88,,4966,02.03.2026
97,4982,Не зайшов,,,97,,4968,Обіцяв бути,---,13.01.2026,Попередній 89,,4968,03.03.2026
98,4983,Не зайшов,,,98,,4970,Обіцяв бути,---,13.01.2026,Попередній 90,,4970,03.03.2026
99,4989,Не зайшов,,,99,,4971,Обіцяв бути,---,13.01.2026,Попередній 91,,4971,03.03.2026
100,4997,Не зайшов,,,100,,4973,Обіцяв бути,---,13.01.2026,Попередній 92,,4973,03.03.2026
101,4999,Не зайшов,,,101,,4976,Обіцяв бути,---,14.01.2026,Попередній 93,,4976,03.03.2026
102,5001,Не зайшов,,,102,,4978,Обіцяв бути,---,14.01.2026,Попередній 94,,4978,03.03.2026
103,5003,Не зайшов,,,103,,4981,Обіцяв бути,---,14.01.2026,Попередній 96,,4981,04.03.2026
104,5004,Не зайшов,,,104,,4982,Обіцяв бути,---,14.01.2026,Попередній 97,,4982,04.03.2026
105,5009,Не зайшов,,,105,,4983,Обіцяв бути,---,14.01.2026,Попередній 98,,4983,04.03.2026
106,5010,Не зайшов,,,106,,4985,Обіцяв бути,---,14.01.2026,Записаний 106,,4985,04.03.2026
107,5015,Не зайшов,,,107,,4989,Обіцяв бути,---,14.01.2026,Попередній 99,,4989,05.03.2026
108,5020,Не зайшов,,,108,,4997,Обіцяв бути,---,15.01.2026,Попередній 100,,4997,05.03.2026
109,5029,Не зайшов,,,109,,4999,Обіцяв бути,---,15.01.2026,Попередній 101,,4999,06.03.2026
110,5034,Зайшов (за живою чергою),,,110,,5001,Обіцяв бути,---,15.01.2026,Попередній 102,,5001,06.03.2026
111,5036,Не зайшов,,,111,,5003,Обіцяв бути,---,15.01.2026,Попередній 103,,5003,06.03.2026
112,5039,Не зайшов,,,112,,5004,Обіцяв бути,---,15.01.2026,Попередній 104,,5004,06.03.2026
113,5041,Не зайшов,,,113,,5009,Обіцяв бути,---,15.01.2026,Попередній 105,,5009,09.03.2026
114,5067,Зайшов (за живою чергою),,,114,,5010,Обіцяв бути,---,15.01.2026,Попередній 106,,5010,09.03.2026
115,5070,Не зайшов,,,115,,5015,Обіцяв бути,---,16.01.2026,Попередній 107,,5015,09.03.2026
116,5072,Не зайшов,,,116,,5020,Обіцяв бути,---,16.01.2026,Попередній 108,,5020,10.03.2026
117,5076,Не зайшов,,,117,,5029,Обіцяв бути,---,16.01.2026,Попередній 109,,5029,11.03.2026
118,5094,Не зайшов,,,118,,5036,Обіцяв бути,---,19.01.2026,Попередній 111,,5036,11.03.2026
119,5099,Зайшов (за живою чергою),,,119,,5039,Обіцяв бути,---,19.01.2026,Попередній 112,,5039,11.03.2026
120,5267,Не зайшов,,,120,,5041,Обіцяв бути,---,19.01.2026,Попередній 113,,5041,11.03.2026
121,5303,Не зайшов,,,121,,5042,Обіцяв бути,---,19.01.2026,Записаний 107,,5042,12.03.2026
122,5323,Не зайшов,,,122,,5070,Обіцяв бути,---,20.01.2026,Попередній 115,,5070,16.03.2026
123,,,,,123,,5072,Обіцяв бути,---,20.01.2026,Попередній 116,,5072,16.03.2026
124,,,,,124,,5076,Обіцяв бути,---,21.01.2026,Попередній 117,,5076,17.03.2026
125,,,,,125,,5094,Обіцяв бути,---,21.01.2026,Попередній 118,,5094,18.03.2026
126,,,,,126,,5233,Обіцяв бути,---,30.01.2026,Записаний 108,,5233,06.04.2026
127,,,,,127,,5267,Обіцяв бути,---,03.02.2026,Попередній 120,,5267,10.04.2026
128,,,,,128,,5303,Обіцяв бути,---,05.02.2026,Попередній 121,,5303,15.04.2026
129,,,,,129,,5323,Обіцяв бути,---,06.02.2026,Попередній 122,,5323,20.04.2026
130,,,,,130,,5433,Обіцяв бути,---,13.02.2026,Записаний 109,"ваш номер 5433, а не 4433",5433,01.05.2026
131,,,,,131,,5434,Обіцяв бути,---,13.02.2026,Записаний 110,"ваш номер 5434, а не 4433",5434,01.05.2026
132,,,,,132
133,,,,,133
134,,,,,134
135,,,,,135
136,,,,,136
137,,,,,137
138,,,,,138
139,,,,,139
140,,,,,140
141,,,,,141
142,,,,,142
143,,,,,143
144,,,,,144
145,,,,,145
146,,,,,146
147,,,,,147
148,,,,,148
149,,,,,149
150,,,,,150
151,,,,,151
152,,,,,152
153,,,,,153
154,,,,,154
155,,,,,155
156,,,,,156
157,,,,,157
158,,,,,158
159,,,,,159
160,,,,,160
161,,,,,161
162,,,,,162
163,,,,,163
164,,,,,164
165,,,,,165
166,,,,,166
167,,,,,167
168,,,,,168
169,,,,,169
170,,,,,170
171,,,,,171
172,,,,,172
173,,,,,173
174,,,,,174
175,,,,,175
176,,,,,176
177,,,,,177
178,,,,,178
179,,,,,179
180,,,,,180
181,,,,,181
182,,,,,182
183,,,,,183
184,,,,,184
185,,,,,185
186,,,,,186
187,,,,,187
188,,,,,188
189,,,,,189
190,,,,,190
191,,,,,191
192,,,,,192
193,,,,,193
194,,,,,194
195,,,,,195
196,,,,,196
197,,,,,197
198,,,,,198
199,,,,,199
200,,,,,200
201,,,,,201
202,,,,,202
203,,,,,203
204,,,,,204
205,,,,,205
206,,,,,206
207,,,,,207
208,,,,,208
209,,,,,209
210,,,,,210
211,,,,,211
212,,,,,212
213,,,,,213
214,,,,,214
215,,,,,215
216,,,,,216
217,,,,,217
218,,,,,218
219,,,,,219
220,,,,,220
221,,,,,221
222,,,,,222
223,,,,,223
224,,,,,224
225,,,,,225
226,,,,,226
227,,,,,227
228,,,,,228
229,,,,,229
230,,,,,230
231,,,,,231
232,,,,,232
233,,,,,233
234,,,,,234
235,,,,,235
236,,,,,236
237,,,,,237
238,,,,,238
239,,,,,239
240,,,,,240
241,,,,,241
242,,,,,242
243,,,,,243
244,,,,,244
245,,,,,245
246,,,,,246
247,,,,,247
248,,,,,248
249,,,,,249
250,,,,,250
251,,,,,251
252,,,,,252
253,,,,,253
254,,,,,254
255,,,,,255
256,,,,,256
257,,,,,257
258,,,,,258
259,,,,,259
260,,,,,260
261,,,,,261
262,,,,,262
263,,,,,263
264,,,,,264
265,,,,,265
266,,,,,266
267,,,,,267
268,,,,,268
269,,,,,269
270,,,,,270
271,,,,,271
272,,,,,272
273,,,,,273
274,,,,,274
275,,,,,275
276,,,,,276
277,,,,,277
278,,,,,278
279,,,,,279
280,,,,,280
281,,,,,281
282,,,,,282
283,,,,,283
284,,,,,284
285,,,,,285
286,,,,,286
287,,,,,287
288,,,,,288
289,,,,,289
290,,,,,290
291,,,,,291
292,,,,,292
293,,,,,293
294,,,,,294
295,,,,,295
296,,,,,296
297,,,,,297
298,,,,,298
299,,,,,299
300,,,,,300
301,,,,,301
302,,,,,302
303,,,,,303
304,,,,,304
305,,,,,305
306,,,,,306
307,,,,,307
308,,,,,308
309,,,,,309
310,,,,,310
311,,,,,311
312,,,,,312
313,,,,,313
314,,,,,314
315,,,,,315
316,,,,,316
317,,,,,317
318,,,,,318
319,,,,,319
320,,,,,320
321,,,,,321
322,,,,,322
323,,,,,323
324,,,,,324
325,,,,,325
326,,,,,326
327,,,,,327
328,,,,,328
329,,,,,329
330,,,,,330
331,,,,,331
332,,,,,332
333,,,,,333
334,,,,,334
335,,,,,335
336,,,,,336
337,,,,,337
338,,,,,338
339,,,,,339
340,,,,,340
341,,,,,341
342,,,,,342
343,,,,,343
344,,,,,344
345,,,,,345
346,,,,,346
347,,,,,347
348,,,,,348
349,,,,,349
350,,,,,350
351,,,,,351
352,,,,,352
353,,,,,353
354,,,,,354
355,,,,,355
356,,,,,356
357,,,,,357
358,,,,,358
359,,,,,359
360,,,,,360
361,,,,,361
362,,,,,362
363,,,,,363
364,,,,,364
365,,,,,365
366,,,,,366
367,,,,,367
368,,,,,368
369,,,,,369
370,,,,,370
371,,,,,371
372,,,,,372
373,,,,,373
374,,,,,374
375,,,,,375
376,,,,,376
377,,,,,377
378,,,,,378
379,,,,,379
380,,,,,380
381,,,,,381
382,,,,,382
383,,,,,383
384,,,,,384
385,,,,,385
386,,,,,386
387,,,,,387
388,,,,,388
389,,,,,389
390,,,,,390
391,,,,,391
392,,,,,392
393,,,,,393
394,,,,,394
395,,,,,395
396,,,,,396
397,,,,,397
398,,,,,398
399,,,,,399
400,,,,,400
401,,,,,401
402,,,,,402
403,,,,,403
404,,,,,404
405,,,,,405
406,,,,,406
407,,,,,407
408,,,,,408
409,,,,,409
410,,,,,410
411,,,,,411
412,,,,,412
413,,,,,413
414,,,,,414
415,,,,,415
416,,,,,416
417,,,,,417
418,,,,,418
419,,,,,419
420,,,,,420
421,,,,,421
422,,,,,422
423,,,,,423
424,,,,,424
425,,,,,425
426,,,,,426
427,,,,,427
428,,,,,428
429,,,,,429
430,,,,,430
431,,,,,431
432,,,,,432
433,,,,,433
434,,,,,434
435,,,,,435
436,,,,,436
437,,,,,437
438,,,,,438
439,,,,,439
440,,,,,440
441,,,,,441
442,,,,,442
443,,,,,443
444,,,,,444
445,,,,,445
446,,,,,446
447,,,,,447
448,,,,,448
449,,,,,449
450,,,,,450
451,,,,,451
452,,,,,452
453,,,,,453
454,,,,,454
455,,,,,455
456,,,,,456
457,,,,,457
458,,,,,458
459,,,,,459
460,,,,,460
461,,,,,461
462,,,,,462
463,,,,,463
464,,,,,464
465,,,,,465
466,,,,,466
467,,,,,467
468,,,,,468
469,,,,,469
470,,,,,470
471,,,,,471
472,,,,,472
473,,,,,473
474,,,,,474
475,,,,,475
476,,,,,476
477,,,,,477
478,,,,,478
479,,,,,479
480,,,,,480
481,,,,,481
482,,,,,482
483,,,,,483
484,,,,,484
485,,,,,485
486,,,,,486
487,,,,,487
488,,,,,488
489,,,,,489
490,,,,,490
491,,,,,491
492,,,,,492
493,,,,,493
494,,,,,494
495,,,,,495
496,,,,,496
497,,,,,497
